Higher-level clade (strict phylogenetic order),Traditional Order,Traditional Family,Species,log10 productivity,log10 mass,Nest type,Foraging habitat,Developmental mode,Time of activity,Social system,Migratory mode,Diet
Caprimulgiformes-Apodiformes,Apodiformes,Trochilidae,Lampornis clemenciae,-0.138,0.878,open,terrestrial,altricial,diurnal,Female only,migrant,nectar
Caprimulgiformes-Apodiformes,Apodiformes,Trochilidae,Colibri thalassinus,-0.407,0.771,open,terrestrial,altricial,diurnal,Female only,nonmigrant,nectar
Caprimulgiformes-Apodiformes,Apodiformes,Trochilidae,Anthracothorax nigricollis,-0.207,0.845,open,terrestrial,altricial,diurnal,Female only,migrant,nectar
Caprimulgiformes-Apodiformes,Apodiformes,Trochilidae,Glaucis hirsuta,-0.195,0.83,open,terrestrial,altricial,diurnal,Female only,nonmigrant,nectar
Caprimulgiformes-Apodiformes,Apodiformes,Trochilidae,Phaethornis guy,-0.152,0.799,open,terrestrial,altricial,diurnal,Female only,nonmigrant,nectar
Caprimulgiformes-Apodiformes,Apodiformes,Apodidae,Apus pallidus,-0.414,1.622,cave,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
Caprimulgiformes-Apodiformes,Apodiformes,Apodidae,Apus apus,-0.724,1.575,cavity,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
Caprimulgiformes-Apodiformes,Apodiformes,Apodidae,Apus caffer,-0.193,1.344,cavity,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
Caprimulgiformes-Apodiformes,Apodiformes,Apodidae,Apus affinis,-0.43,1.354,cavity,terrestrial,altricial,diurnal,Unknown,migrant,invertebrate
Caprimulgiformes-Apodiformes,Apodiformes,Apodidae,Chaetura brachyura,-0.14,1.262,cavity,terrestrial,altricial,diurnal,Cooperative,nonmigrant,invertebrate
Caprimulgiformes-Apodiformes,Apodiformes,Apodidae,Chaetura pelagica,-0.517,1.373,cavity,terrestrial,altricial,diurnal,Cooperative,migrant,invertebrate
Gruiformes-Cuculiformes,Gruiformes,Otididae,Tetrax tetrax,-0.769,2.921,open,terrestrial,precocial,diurnal,Female only,migrant,omnivore
Gruiformes-Cuculiformes,Gruiformes,Otididae,Chlamydotis undulata,-0.949,3.176,open,terrestrial,precocial,diurnal,Female only,migrant,omnivore
Gruiformes-Cuculiformes,Gruiformes,Otididae,Otis tarda,-1.277,3.83,open,terrestrial,precocial,diurnal,Female only,migrant,omnivore
Gruiformes-Cuculiformes,Cuculiformes,Centropodidae,Centropus superciliosus,-0.144,2.172,closed,terrestrial,altricial,diurnal,Pair,nonmigrant,invertebrate
Gruiformes-Cuculiformes,Cuculiformes,Crotophagidae,Crotophaga sulcirostris,-0.061,1.914,open,terrestrial,altricial,diurnal,Cooperative,migrant,invertebrate
Gruiformes-Cuculiformes,Cuculiformes,Crotophagidae,Crotophaga ani,0.018,2.042,open,terrestrial,altricial,diurnal,Cooperative,nonmigrant,invertebrate
Gruiformes-Cuculiformes,Cuculiformes,Coccyzidae,Coccyzus erythropthalmus,-0.407,1.707,open,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
Gruiformes-Cuculiformes,Cuculiformes,Coccyzidae,Coccyzus americanus,-0.076,1.806,open,terrestrial,altricial,diurnal,Occasional,migrant,invertebrate
Gruiformes-Cuculiformes,Gruiformes,Rallidae,Gallicrex cinerea,-0.311,2.592,open,freshwater,semialtricial,crepuscular,Pair,migrant,vegetation
Gruiformes-Cuculiformes,Gruiformes,Rallidae,Gallinula tenebrosa,-0.026,2.724,open,freshwater,semialtricial,diurnal,Cooperative,nonmigrant,vegetation
Gruiformes-Cuculiformes,Gruiformes,Rallidae,Gallinula chloropus,-0.116,2.531,open,freshwater,semialtricial,diurnal,Cooperative,migrant,omnivore
Gruiformes-Cuculiformes,Gruiformes,Rallidae,Fulica atra,-0.228,2.856,open,freshwater,semialtricial,diurnal,Cooperative,migrant,vegetation
Gruiformes-Cuculiformes,Gruiformes,Rallidae,Porzana carolina,0.115,1.874,open,freshwater,semialtricial,diurnal,Pair,migrant,omnivore
